"precinct","assaults90","assaults91","assaults92","assaults93","assaults94","assaults95","assaults96","assaults97","assaults98","assaults99","assaults00","assaults01","assaults02","assaults03","assaults04","assaults05","assaults06","assaults07","vcrimes90","vcrimes91","vcrimes92","vcrimes93","vcrimes94","vcrimes95","vcrimes96","vcrimes97","vcrimes98","vcrimes99","vcrimes00","vcrimes01","vcrimes02","vcrimes03","vcrimes04","vcrimes05","vcrimes06","vcrimes07","burg90","burg91","burg92","burg93","burg94","burg95","burg96","burg97","burg98","burg99","burg00","burg01","burg02","burg03","burg04","burg05","burg06","burg07","felonies90","felonies91","felonies92","felonies93","felonies94","felonies95","felonies96","felonies97","felonies98","felonies99","felonies00","felonies01","felonies02","felonies03","felonies04","felonies05","felonies06","felonies07","rape90","rape91","rape92","rape93","rape94","rape95","rape96","rape97","rape98","rape99","rape00","rape01","rape02","rape03","rape04","rape05","rape06","rape07","larceny90","larceny91","larceny92","larceny93","larceny94","larceny95","larceny96","larceny97","larceny98","larceny99","larceny00","larceny01","larceny02","larceny03","larceny04","larceny05","larceny06","larceny07","movtheft90","movtheft91","movtheft92","movtheft93","movtheft94","movtheft95","movtheft96","movtheft97","movtheft98","movtheft99","movtheft00","movtheft01","movtheft02","movtheft03","movtheft04","movtheft05","movtheft06","movtheft07","murder90","murder91","murder92","murder93","murder94","murder95","murder96","murder97","murder98","murder99","murder00","murder01","murder02","murder03","murder04","murder05","murder06","murder07","propcrime90","propcrime91","propcrime92","propcrime93","propcrime94","propcrime95","propcrime96","propcrime97","propcrime98","propcrime99","propcrime00","propcrime01","propcrime02","propcrime03","propcrime04","propcrime05","propcrime06","propcrime07","robbery90","robbery91","robbery92","robbery93","robbery94","robbery95","robbery96","robbery97","robbery98","robbery99","robbery00","robbery01","robbery02","robbery03","robbery04","robbery05","robbery06","robbery07","stop_03","stop_04","stop_05","stop_06","stop_07","stop_08","stop_09","stop_10","stop_11","sumis_03","sumis_04","sumis_05","sumis_06","sumis_07","sumis_08","sumis_09","sumis_10","sumis_11","arest_03","arest_04","arest_05","arest_06","arest_07","arest_08","arest_09","arest_10","arest_11","stop_at","sumis_at","arest_at","black","bl_hisp","wh_hisp","white","all_hisp","bl+hisp","race_o_u","male","female","sex_unk","age_q1","age_q2","age_q3","age_q4","age_q5","age_unk","weapon","inside","outside","unifo","no_unifo"
1,492,441,416,353,372,312,304,305,251,226,239,228,227,208,188,183,157,138,1794,1673,1466,727,1010,832,714,678,599,524,504,422,449,385,353,360,282,268,1462,1313,1070,866,803,594,667,614,549,461,456,422,278,384,232,283,244,227,14957,14270,12932,11391,9441,8623,7463,7115,6903,6186,6027,5250,4428,4229,4033,4017,3655,3589,13,5,11,9,12,2,11,10,6,4,10,5,10,11,9,5,5,4,10510,10224,9369,8417,6978,6647,5545,5470,5446,4970,4867,4249,3545,3328,3315,3283,3049,3029,1191,1060,1027,881,650,550,537,353,309,231,200,157,156,132,133,91,80,65,8,7,7,11,4,2,0,0,1,1,3,1,2,2,2,0,1,0,13163,12597,11466,10164,8431,7791,6749,6437,6304,5662,5523,4828,3979,3844,3680,3657,3373,3321,1281,1220,1032,354,622,516,399,363,341,293,252,188,210,164,154,172,119,126,637,831,1418,1967,1887,2506,2585,2446,637,36,66,49,21,22,27,26,65,36,44,60,47,46,117,221,238,260,44,17903,374,1248,10324,665,2883,2783,3548,13872,1248,16380,1253,270,1406,1697,3078,3915,7552,255,246,10405,7384,7784,10119
5,399,443,472,457,416,339,314,283,313,298,270,233,155,151,134,109,140,167,1411,1481,1345,1296,1250,856,784,640,633,631,634,500,357,309,277,258,276,319,857,743,732,771,689,554,581,392,322,276,279,245,206,211,172,150,143,122,6351,6075,6363,5768,4754,4011,2873,3224,2958,2660,2706,2350,2126,2001,1948,1979,1774,1850,10,11,8,11,11,9,16,4,4,4,9,3,6,7,6,11,4,2,3556,3280,3673,3364,2517,2357,2301,2035,1856,1636,1673,1493,1467,1402,1429,1503,1315,1367,527,571,613,337,298,244,207,157,147,117,120,112,96,79,70,68,40,42,19,10,17,10,15,6,2,4,3,5,4,3,0,3,1,4,2,2,4940,4594,5018,4472,3504,3155,3089,2584,2325,2029,2072,1850,1769,1692,1671,1721,1498,1531,983,1017,848,818,808,502,452,349,313,324,351,261,196,148,136,134,130,148,644,960,2493,3378,2834,3132,2880,2871,644,29,62,169,175,123,102,75,123,29,118,68,234,309,258,286,234,340,118,22310,962,2219,8283,1489,5160,2582,6649,14932,4795,19807,2015,487,3266,2658,4125,4619,7300,342,297,10399,11796,11667,10638
6,527,459,518,423,386,287,241,308,308,320,276,232,153,170,135,146,188,174,1977,1693,1620,792,1099,880,751,767,766,691,659,529,473,431,401,386,409,394,1178,923,793,770,781,775,513,375,360,319,269,286,283,272,325,293,257,195,12699,11706,9838,8679,7534,6154,5271,5045,4637,4422,4063,3690,3434,3110,3315,3195,3190,3169,10,11,18,14,9,8,14,16,4,6,5,3,7,11,6,11,6,7,8424,8099,6590,5828,4989,4006,3593,3560,3256,3229,2969,2703,2492,2229,2460,2434,2445,2513,1120,991,835,789,665,493,414,343,255,183,166,172,186,178,129,82,79,67,7,10,5,1,6,4,0,0,4,0,0,1,0,1,3,1,3,5,10722,10013,8218,7387,6435,5274,4520,4278,3871,3731,3404,3161,2961,2679,2914,2809,2781,2775,1433,1213,1079,354,698,581,496,443,450,365,378,293,313,249,257,228,212,208,732,1920,2210,2597,3109,3311,2325,3533,732,17,125,94,78,77,98,45,62,17,86,143,252,139,193,216,163,265,86,22691,661,1679,12605,765,3509,4275,4274,16879,1537,20372,1585,734,1961,2711,4742,5230,7634,413,261,7015,15467,12051,10634
7,400,476,459,430,435,326,260,256,250,247,213,185,195,208,211,167,181,196,1288,1436,1226,780,1164,827,611,551,502,534,505,410,395,415,433,382,366,422,451,470,333,390,394,344,243,236,122,137,138,177,161,156,118,99,118,113,3724,3569,3290,3346,2934,2485,1960,1826,1625,1705,1733,1506,1583,1511,1455,1453,1444,1500,18,16,21,18,20,10,15,5,9,6,13,8,5,10,7,8,6,3,1438,1187,1259,1283,1060,1094,965,890,882,877,939,790,859,812,776,887,873,909,547,476,472,393,316,220,141,149,129,157,151,129,168,128,128,85,87,56,18,12,11,11,8,6,4,7,2,3,0,3,5,6,3,7,4,2,2436,2133,2064,2066,1770,1658,1349,1275,1133,1171,1228,1096,1188,1096,1022,1071,1078,1078,852,932,735,321,701,485,332,283,241,278,279,214,190,191,212,200,175,221,1711,2609,3055,4207,4935,4293,3825,3224,1711,50,80,100,148,201,187,152,117,50,154,272,462,459,598,414,365,418,154,32036,1139,3636,10806,2916,11902,3447,14818,25624,2965,28931,2288,817,5255,5073,7802,6885,6546,475,542,11062,20767,17085,14951
9,946,892,792,790,781,655,551,463,374,369,373,314,313,248,268,271,252,249,2145,2119,1855,1844,1716,1299,1131,1004,819,731,718,577,590,525,501,551,509,470,1417,1554,1143,910,743,743,545,501,378,375,337,309,334,351,376,283,292,204,9750,9223,8213,7888,6984,5999,4932,5116,4424,3934,3610,3045,3328,3312,3356,3078,2987,3020,41,29,29,40,31,8,25,27,10,12,10,10,13,10,19,14,9,13,5378,4782,4600,4583,4092,3599,2967,3387,3017,2666,2389,2008,2228,2283,2337,2118,2105,2255,810,768,615,551,433,358,289,224,210,162,166,151,176,153,142,126,81,91,23,13,15,16,6,4,13,6,4,3,3,2,1,3,4,2,1,0,7605,7104,6358,6044,5268,4700,3801,4112,3605,3203,2892,2468,2738,2787,2855,2527,2478,2550,1135,1185,1019,998,898,632,542,508,431,347,332,251,263,264,210,264,247,208,1695,2527,3641,4450,4155,4635,5196,5177,1695,74,98,115,241,162,148,111,142,74,151,152,428,415,504,506,565,748,151,36843,1211,4364,12176,2830,11780,7531,14610,26786,2526,32917,2821,1105,4689,5218,8498,8160,9635,643,655,10902,25779,17845,18987
10,418,433,457,432,480,343,332,330,279,227,227,157,138,183,200,178,217,208,1208,1246,1167,982,1065,837,723,739,551,494,429,301,298,410,395,376,407,362,815,616,644,609,597,411,365,338,287,182,171,97,136,215,186,164,167,106,6064,5859,5287,4592,4361,3731,3219,3256,2648,2491,2464,1948,2009,2294,2242,2215,2272,2002,23,18,29,24,16,10,6,16,5,11,9,5,2,18,15,14,9,6,3001,3270,2808,2383,2208,2033,1729,1777,1509,1605,1670,1417,1442,1520,1539,1581,1604,1471,1040,727,668,518,491,450,402,402,301,210,194,133,133,149,122,94,94,63,6,9,8,8,3,6,3,3,3,8,2,3,2,2,5,4,4,0,4856,4613,4120,3510,3296,2894,2496,2517,2097,1997,2035,1647,1711,1884,1847,1839,1865,1640,761,786,673,518,566,478,382,390,264,248,191,136,156,207,175,180,177,148,1436,3047,3865,3127,3437,4213,2760,2728,1436,39,130,78,49,132,121,65,58,39,160,197,259,257,264,333,289,343,160,27702,743,2411,12394,1467,6503,5273,7970,20364,2065,24631,2178,893,2759,3790,6557,6433,7442,721,397,7636,19728,12812,14887
13,506,470,517,407,491,385,353,323,301,354,387,283,280,223,250,218,230,281,1858,1650,1655,1521,1361,1103,982,861,735,744,736,609,636,553,574,529,552,533,1864,1785,1998,1532,1115,1098,859,661,618,598,535,524,577,546,416,406,431,340,15075,13805,12559,11062,8989,7680,7088,6859,5777,5603,5357,5202,5300,4769,4736,4370,4207,4226,21,27,23,20,18,12,14,21,5,7,6,12,22,18,20,9,10,6,9539,8658,7704,6831,5619,4798,4651,4781,3997,3920,3787,3838,3914,3480,3585,3310,3115,3286,1814,1685,1202,1228,894,681,596,556,427,341,299,231,173,190,161,125,109,67,12,6,8,6,10,6,3,8,2,7,2,2,2,4,3,3,2,3,13217,12128,10904,9591,7628,6577,6106,5998,5042,4859,4621,4593,4664,4216,4162,3841,3655,3693,1319,1147,1107,1088,842,700,612,509,427,376,341,312,332,308,301,299,310,243,768,1751,2545,3307,4250,5201,4594,4047,768,20,105,79,114,96,114,82,115,20,65,134,147,274,349,400,346,335,65,31715,824,2591,14004,1735,7252,6033,8987,22991,2691,28519,2453,743,3207,3340,6206,6933,11570,459,982,16257,15271,11588,20114
14,1508,1186,1057,928,937,702,605,539,564,563,604,473,469,346,339,281,269,285,5784,4637,3893,3519,2899,2093,1700,1571,1451,1275,1250,1014,957,758,692,636,559,547,2895,2667,2339,2297,2055,1807,1246,1065,872,781,680,785,619,688,493,515,544,455,31437,29158,27007,23824,20714,16699,14579,14395,13625,12253,11798,10662,9852,9073,8666,8137,7881,7932,41,37,37,33,19,32,17,16,14,7,10,10,12,14,22,16,4,13,22145,21302,20371,17630,15409,12524,11361,11540,11142,10053,9760,8763,8181,7559,7422,6929,6747,6897,613,552,404,378,351,275,272,219,160,144,108,100,95,68,59,57,31,33,8,12,7,11,3,4,8,3,3,2,7,4,8,4,2,1,1,2,25653,24521,23114,20305,17815,14606,12879,12824,12174,10978,10548,9648,8895,8315,7974,7501,7322,7385,4227,3402,2792,2547,1940,1355,1070,1013,870,703,629,527,468,394,329,338,285,247,3155,4529,6773,9883,9701,11258,10094,12125,3155,102,196,159,152,209,259,231,326,102,305,249,282,430,547,652,608,862,305,78183,1842,4635,42990,3303,15212,10857,18515,61505,5819,69879,6246,2056,5452,7940,14257,17385,31954,1195,1932,48594,29151,37966,40217
17,267,313,273,261,241,212,161,178,127,109,117,154,110,132,116,114,118,91,1025,1000,936,788,659,514,457,405,384,304,295,307,254,249,232,247,226,193,1347,1323,1196,1207,963,827,709,455,486,382,240,236,224,212,217,179,201,119,8381,7985,6659,6929,6348,5416,4955,3985,3649,3384,3100,3037,2556,2413,2010,1752,1743,1610,12,16,10,11,11,8,12,7,8,11,8,6,14,8,9,8,9,7,5165,4905,3872,4131,4147,3678,3393,2801,2591,2543,2432,2367,1984,1877,1501,1275,1276,1254,844,757,655,703,579,397,396,324,188,155,133,127,94,75,60,51,40,44,6,5,2,0,2,0,1,3,0,0,1,0,1,1,0,0,2,1,7356,6985,5723,6041,5689,4902,4498,3580,3265,3080,2805,2730,2302,2164,1778,1505,1517,1417,740,666,651,516,405,294,283,217,249,184,169,147,129,108,107,125,97,94,328,442,730,1429,1617,1990,1611,1842,328,9,14,33,53,38,71,27,55,9,102,42,37,101,107,104,78,80,102,12049,345,757,4601,644,2530,2827,3174,7775,1447,10646,1021,382,836,1003,2311,3010,4734,155,291,5358,6637,6802,5245
18,633,591,594,598,687,445,470,438,453,350,353,344,305,254,245,253,239,200,2802,2380,2259,2010,1776,1303,1210,1103,1068,853,798,756,645,544,528,546,466,379,2651,2174,2031,1924,1887,1527,1395,1311,928,671,587,427,395,378,325,321,242,201,20845,18480,17631,16610,15789,11957,10585,9907,9164,8553,7951,7663,6254,5650,5452,5139,4311,4177,18,26,20,21,23,15,17,25,13,14,14,10,13,19,23,20,4,12,14376,13162,12762,12197,11671,8733,7574,7186,6877,6830,6339,6277,5019,4564,4479,4170,3538,3529,1016,764,579,479,455,394,406,307,291,199,227,203,195,164,120,102,65,68,16,17,16,11,8,7,0,3,3,7,1,5,2,4,3,3,4,1,18043,16100,15372,14600,14013,10654,9375,8804,8096,7700,7153,6907,5609,5106,4924,4593,3845,3798,2135,1746,1629,1380,1058,836,723,637,599,482,430,397,325,267,257,270,219,166,870,1496,1840,2918,2570,3485,2495,3153,870,35,51,55,82,65,53,54,83,35,66,62,93,174,231,216,174,263,66,22460,532,1603,10702,1028,4478,4164,5506,16208,2088,19416,2184,860,2221,2451,4320,4900,8087,481,369,9911,12419,12209,10251
19,532,569,578,590,556,387,362,381,298,265,320,228,177,182,155,144,219,212,2472,2439,2116,1986,1679,1258,1024,968,778,740,727,604,540,463,478,470,474,448,3595,3444,3093,2935,2312,1969,1738,1150,947,689,676,672,682,528,518,431,468,346,20945,20278,19157,17719,15265,11631,9890,8260,7025,6307,6232,6054,5347,4951,5120,4584,4456,4276,27,21,31,26,21,12,12,18,15,10,14,8,11,12,16,9,9,10,11540,10698,10303,9400,8230,6370,5382,4921,4267,4231,4282,4471,3824,3733,3906,3495,3384,3339,3338,3697,3645,3398,3044,2034,1746,1221,1033,647,547,307,301,227,218,188,130,143,9,8,7,5,8,1,7,2,6,4,3,1,3,2,0,4,1,5,18473,17839,17041,15733,13586,10373,8866,7292,6247,5567,5505,5450,4807,4488,4642,4114,3982,3828,1904,1841,1500,1365,1094,858,643,567,459,461,390,367,349,267,307,313,245,221,988,1248,3400,6385,6898,5394,3784,4260,988,27,46,94,342,465,228,221,276,27,154,76,277,409,706,554,437,565,154,37607,2013,3820,12859,2259,9062,9665,11321,24180,3762,32873,3271,1463,4225,3707,7002,8552,13659,462,330,10086,27355,23928,13657
20,372,365,385,300,285,265,232,189,178,134,196,183,164,137,138,129,124,139,1366,1291,1207,834,809,699,580,478,481,383,380,365,359,306,313,290,277,265,1302,1085,1217,893,703,581,441,306,324,287,203,153,227,226,203,183,134,120,9763,9723,8904,7696,6156,5167,4312,4160,3377,3019,3024,2772,2693,2506,2529,2437,2112,1977,13,10,14,17,6,9,14,7,13,8,6,7,7,13,7,5,5,7,5411,5925,5200,4719,3736,3169,2703,2823,2177,2086,2236,2106,1946,1852,1885,1876,1635,1547,1684,1422,1280,1150,908,718,588,553,395,263,205,148,161,122,128,88,66,45,3,9,1,1,6,3,5,4,3,0,1,1,1,2,1,0,1,0,8397,8432,7697,6762,5347,4468,3732,3682,2896,2636,2644,2407,2334,2200,2216,2147,1835,1712,978,907,807,516,512,422,329,278,287,241,177,174,187,154,167,156,147,119,840,1909,2446,3584,3359,2838,3041,4533,840,69,107,183,233,174,113,176,367,69,108,140,154,166,312,300,472,499,108,27787,1833,2568,10988,1648,6290,6199,7938,18926,2662,23558,3253,976,4376,2684,4705,5464,10146,412,254,8352,19214,19950,7836
22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,119,409,1177,731,846,675,591,1246,119,3,36,57,31,48,54,47,79,3,8,19,38,12,23,33,27,39,8,7210,466,252,3025,652,1568,1287,2220,5245,678,6169,615,426,2517,820,925,1030,1764,154,34,1195,5829,4948,2256
23,1124,1122,1104,994,967,801,672,724,677,593,648,572,455,455,395,407,373,351,2299,2200,2102,2017,1880,1568,1357,1400,1209,1134,1123,993,887,832,748,760,724,676,712,823,726,477,482,421,312,363,356,229,208,181,143,103,109,88,90,104,5966,7050,5562,4948,4239,3308,2852,3011,2807,2432,2364,2229,2005,1876,1752,1833,1733,1725,36,50,48,52,51,36,29,26,30,27,13,28,23,21,27,33,13,15,2437,3446,2193,2030,1551,1053,931,1060,1077,917,877,920,853,813,786,884,857,873,518,581,541,424,326,266,252,188,165,152,156,135,122,128,109,101,62,72,31,34,33,27,22,22,19,17,15,9,9,10,8,8,5,11,10,10,3667,4850,3460,2931,2359,1740,1495,1611,1598,1298,1241,1236,1118,1044,1004,1073,1009,1049,1108,994,917,944,840,709,637,633,487,505,453,383,401,348,321,309,328,300,2982,5530,10562,16652,15188,15510,14501,17281,2982,130,309,781,1050,860,1019,972,2359,130,187,430,599,623,896,1134,1442,1471,187,115704,8064,7733,60506,8929,36913,3115,45842,106348,6240,103867,8395,3441,25052,19337,24543,21369,23311,2092,637,47322,67958,90673,24999
24,751,724,759,772,699,558,481,389,384,320,337,294,233,231,214,209,225,189,1995,1798,1720,1723,1593,1216,1035,882,834,714,723,647,564,601,525,511,496,447,1339,1092,1338,1054,939,677,411,345,408,310,229,245,226,215,173,219,145,143,8879,10190,8175,7807,6257,4729,3625,3547,3224,2816,2903,2559,2540,2599,2476,2719,2296,2208,34,30,21,30,24,21,14,17,17,10,11,11,14,11,13,18,8,6,4027,5879,3939,4025,3034,2269,1751,1933,1617,1508,1708,1476,1591,1625,1664,1883,1544,1547,1518,1421,1178,1005,691,567,428,387,365,284,243,191,159,158,114,106,111,71,17,14,15,23,12,4,7,7,2,2,3,3,2,5,0,2,5,2,6884,8392,6455,6084,4664,3513,2590,2665,2390,2102,2180,1912,1976,1998,1951,2208,1800,1761,1193,1030,925,898,858,633,533,469,431,382,372,339,315,354,298,282,258,250,1276,1639,1926,3714,4713,4147,3077,4005,1276,58,93,89,178,303,314,133,334,58,107,139,148,212,400,366,396,556,107,29415,1902,2889,15269,2838,7271,2388,10109,25378,1649,26266,2601,548,5151,3485,4412,4822,11055,490,248,12758,16485,18778,10637
25,1102,1066,975,1039,923,765,695,636,498,486,521,481,425,427,432,375,369,335,2258,2115,2024,2039,1885,1466,1259,1160,931,868,863,787,764,793,732,703,683,631,793,617,666,556,482,461,367,302,270,178,150,171,112,146,177,146,145,116,5281,5012,4264,4339,3651,3120,2769,2524,2259,1975,1994,1874,1852,1991,1815,1747,1650,1959,75,52,50,35,36,40,32,25,29,15,18,16,13,23,30,16,21,9,1838,1894,1243,1403,1061,1029,946,931,934,811,857,802,838,961,820,825,740,1137,392,386,331,341,223,164,197,131,124,118,124,114,138,91,86,73,82,75,35,43,34,37,30,23,16,10,7,9,10,7,7,6,8,8,9,10,3023,2897,2240,2300,1766,1654,1510,1364,1328,1107,1131,1087,1088,1198,1083,1044,967,1328,1046,954,965,928,896,638,516,489,397,358,314,283,319,337,262,304,284,277,2601,3667,4489,5350,7915,8604,8219,10696,2601,99,147,217,321,454,604,295,1094,99,193,334,478,539,1041,1348,1137,1343,193,61467,3795,7248,36696,4437,14709,2007,19146,55842,3618,54974,4218,2275,9361,8662,12317,12695,17463,969,996,25592,35570,39335,22131
26,517,526,502,502,418,387,348,326,306,270,268,207,229,175,184,128,174,142,1341,1410,1332,1309,1139,929,821,697,656,564,501,435,471,403,434,416,425,359,778,676,718,604,514,437,276,261,250,168,182,114,89,118,103,101,93,67,5284,5887,5089,4353,3457,2967,2458,2276,2099,1786,1857,1548,1522,1546,1476,1406,1547,1340,23,34,34,20,21,20,26,14,14,8,4,9,8,11,15,13,8,7,2528,3148,2573,2081,1554,1399,1189,1212,1075,930,1056,872,851,930,869,825,971,861,637,653,466,359,250,202,172,106,118,124,118,127,111,95,70,64,58,53,15,15,11,14,13,4,8,3,3,4,4,1,2,4,5,5,0,2,3943,4477,3757,3044,2318,2038,1637,1579,1443,1222,1356,1113,1051,1143,1042,990,1122,981,786,835,785,773,687,518,439,354,333,282,225,218,232,213,230,270,243,208,1130,2298,5534,5302,4320,4277,4059,4582,1130,55,192,986,407,292,238,212,245,55,117,163,190,183,222,304,390,476,117,36493,3008,2543,24988,2504,6407,1411,8911,33899,1183,32793,3162,538,7619,4895,6283,6368,10426,902,260,16204,19882,25084,11409
